,Numero_Proyecto_Ley,Título,Sumilla,Etiqueta,Texto
0,10595,LEY QUE PROHIBE EL USO DEL COLORANTE ROJO N° 3,"PROPONE PROHIBIR EL USO DEL COLORANTE ROJO N° 03 EN LAS INDUSTRIAS ALIMENTARIA, FARMACÉUTICA Y COSMÉTICA, CON LA FINALIDAD DE PROTEGER LA SALUD DE LOS CONSUMIDORES PERUANOS",POSITIVO,"LEY QUE PROHIBE EL USO DEL COLORANTE ROJO N° 3 PROPONE PROHIBIR EL USO DEL COLORANTE ROJO N° 03 EN LAS INDUSTRIAS ALIMENTARIA, FARMACÉUTICA Y COSMÉTICA, CON LA FINALIDAD DE PROTEGER LA SALUD DE LOS CONSUMIDORES PERUANOS"
1,11845,"LEY QUE BUSCA INSERTAR A DEUDORES TRIBUTARIOS A LA FORMALIDAD, BAJO FRACCIONAMIENTO ESPECIAL DE LA DEUDA TRIBUTARIA ADMINISTRADA","PROPONE DAR UN MARCO NORMATIVO EXCEPCIONAL PARA AUTORIZAR Y REGULAR UN FRACCIONAMIENTO ESPECIAL PARA DEUDAS TRIBUTARIAS ADMINISTRADAS POR PARTE DE LA SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACIÓN TRIBUTARIA QUE CONSTITUYAN INGRESOS DEL TESORO PÚBLICO, A FIN DE INSERTAR  A LOS DEUDORES TRIBUTARIOS A LA FORMALIDAD",POSITIVO,"LEY QUE BUSCA INSERTAR A DEUDORES TRIBUTARIOS A LA FORMALIDAD, BAJO FRACCIONAMIENTO ESPECIAL DE LA DEUDA TRIBUTARIA ADMINISTRADA PROPONE DAR UN MARCO NORMATIVO EXCEPCIONAL PARA AUTORIZAR Y REGULAR UN FRACCIONAMIENTO ESPECIAL PARA DEUDAS TRIBUTARIAS ADMINISTRADAS POR PARTE DE LA SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACIÓN TRIBUTARIA QUE CONSTITUYAN INGRESOS DEL TESORO PÚBLICO, A FIN DE INSERTAR  A LOS DEUDORES TRIBUTARIOS A LA FORMALIDAD"
2,10303,"LEY QUE CREA LA UNIVERSIDAD NACIONAL DE MAZUKO (UNMA), EN EL DEPARTAMENTO DE MADRE DE DIOS","PROPONE LA CREACIÓN DE LA UNIVERSIDAD NACIONAL DE MAZUKO – UNMA, CON SEDE PRINCIPAL EN EL DISTRITO DE INAMBARI, PROVINCIA DE TAMBOPATA EN EL DEPARTAMENTO DE MADRE DE DIOS, COMO PERSONA JURÍDICA DE DERECHO PÚBLICO INTERNO PARA EL DESARROLLO EN SECTOR EDUCATIVO UNIVERSITARIO",POSITIVO,"LEY QUE CREA LA UNIVERSIDAD NACIONAL DE MAZUKO (UNMA), EN EL DEPARTAMENTO DE MADRE DE DIOS PROPONE LA CREACIÓN DE LA UNIVERSIDAD NACIONAL DE MAZUKO – UNMA, CON SEDE PRINCIPAL EN EL DISTRITO DE INAMBARI, PROVINCIA DE TAMBOPATA EN EL DEPARTAMENTO DE MADRE DE DIOS, COMO PERSONA JURÍDICA DE DERECHO PÚBLICO INTERNO PARA EL DESARROLLO EN SECTOR EDUCATIVO UNIVERSITARIO"
3,9798,"LEY QUE DECLARA DE INTERÉS NACIONAL LA PUESTA EN VALOR DEL FESTIVAL DE LA HORMIGA SIQUISAPA, DISTRITO DE YÁNTALO PROVINCIA MOYOBAMBA, DEPARTAMENTO SAN MARTÍN","PROPONE DECLÁRAR DE INTERÉS NACIONAL LA PUESTA EN VALOR Y RECONOCIMIENTO COMO PATRIMONIO CULTURAL INMATERIAL DE LA NACIÓN AL ""FESTIVAL DE LA HORMIGA SIQUISAPA EN EL DISTRITO DE YÁNTALO, PROVINCIA DE MOYOBAMBA, DEPARTAMENTO DE SAN MARTÍN"".",POSITIVO,"LEY QUE DECLARA DE INTERÉS NACIONAL LA PUESTA EN VALOR DEL FESTIVAL DE LA HORMIGA SIQUISAPA, DISTRITO DE YÁNTALO PROVINCIA MOYOBAMBA, DEPARTAMENTO SAN MARTÍN PROPONE DECLÁRAR DE INTERÉS NACIONAL LA PUESTA EN VALOR Y RECONOCIMIENTO COMO PATRIMONIO CULTURAL INMATERIAL DE LA NACIÓN AL ""FESTIVAL DE LA HORMIGA SIQUISAPA EN EL DISTRITO DE YÁNTALO, PROVINCIA DE MOYOBAMBA, DEPARTAMENTO DE SAN MARTÍN""."
4,11842,LEY QUE FORTALECE LA SANCIÓN PENAL POR INCUMPLIMIENTO DEL DEBER DE PROTECCIÓN DE LOS NIÑOS Y ADOLESCENTES,PROPONE FORTALECER LA SANCIÓN PENAL POR INCUMPLIMIENTO DEL DEBER DE PROTECCIÓN DE LOS NIÑOS Y ADOLESCENTES,POSITIVO,LEY QUE FORTALECE LA SANCIÓN PENAL POR INCUMPLIMIENTO DEL DEBER DE PROTECCIÓN DE LOS NIÑOS Y ADOLESCENTES PROPONE FORTALECER LA SANCIÓN PENAL POR INCUMPLIMIENTO DEL DEBER DE PROTECCIÓN DE LOS NIÑOS Y ADOLESCENTES
5,11822,"LEY QUE GARANTIZA EL APROVECHAMIENTO DE LOS RECURSOS RENOVABLES Y NO RENOVABLES PARA GENERAR EL AUMENTO DEL CANON Y SOBRE CANON QUE SIRVAN PARA EL CIERRE DE BRECHAS DE INFRAESTRUTURA Y SOCIALES, MODIFICADO LA LEY N° 26834, LEY DE AREAS NATURALES COMUNAL","PROPONE MODIFICAR LOS ARTICULOS 3,4,5,7,19,20,21,23 Y 27 E INCORPORAR UNA TERCERA, CUARTA Y QUINTA DISPOSIÓN COMPLEMENTARIA A LA LEY N° 26834 - LEY DE AREAS NATURALES PROTEGIDAS, CON LA FINALIDAD DE EQUILIBRAR: I) EL APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES RENOVABLES Y NO RENOVABLES, II) LA CONSERVACÓN DE AREAS NATURALES QUE CUENTAN CON IMPORTANTE DIVERSIDAD BIOLÓGICA, PAISAJES Y OTROS COMPONENTES DEL PATRIMONIO NATURAL DE LA NACIÓN, III) EL DESARROLLO INTEGRAL DE LA PERSONA HUMANA Y DEL PAIS, GENERANDO COMO CONSECUENCIA MAYOR INVERSIÓN PRIVADA QUE GENERE EL AUMENTO DE CANON Y SOBRE CANON PARA LAS REGIONES Y GOBIERNOS LOCALES",NEGATIVO,"LEY QUE GARANTIZA EL APROVECHAMIENTO DE LOS RECURSOS RENOVABLES Y NO RENOVABLES PARA GENERAR EL AUMENTO DEL CANON Y SOBRE CANON QUE SIRVAN PARA EL CIERRE DE BRECHAS DE INFRAESTRUTURA Y SOCIALES, MODIFICADO LA LEY N° 26834, LEY DE AREAS NATURALES COMUNAL PROPONE MODIFICAR LOS ARTICULOS 3,4,5,7,19,20,21,23 Y 27 E INCORPORAR UNA TERCERA, CUARTA Y QUINTA DISPOSIÓN COMPLEMENTARIA A LA LEY N° 26834 - LEY DE AREAS NATURALES PROTEGIDAS, CON LA FINALIDAD DE EQUILIBRAR: I) EL APROVECHAMIENTO SOSTENIBLE DE LOS RECURSOS NATURALES RENOVABLES Y NO RENOVABLES, II) LA CONSERVACÓN DE AREAS NATURALES QUE CUENTAN CON IMPORTANTE DIVERSIDAD BIOLÓGICA, PAISAJES Y OTROS COMPONENTES DEL PATRIMONIO NATURAL DE LA NACIÓN, III) EL DESARROLLO INTEGRAL DE LA PERSONA HUMANA Y DEL PAIS, GENERANDO COMO CONSECUENCIA MAYOR INVERSIÓN PRIVADA QUE GENERE EL AUMENTO DE CANON Y SOBRE CANON PARA LAS REGIONES Y GOBIERNOS LOCALES"
6,3235,LEY QUE GARANTIZA LA EVALUACIÓN Y ACTUACIÓN INMEDIATA PARA LA PROTECCIÓN DE LOS NIÑOS Y ADOLECENTES CON PARÁLISIS CEREBRAL,PROPONE GARANTIZAR LA EVALUACIÓN Y ACTUACION INMEDIATA PARA LA PROTECCION DE LOS NIÑOS Y ADOLECENTES CON PARALISIS CEREBRAL.,POSITIVO,LEY QUE GARANTIZA LA EVALUACIÓN Y ACTUACIÓN INMEDIATA PARA LA PROTECCIÓN DE LOS NIÑOS Y ADOLECENTES CON PARÁLISIS CEREBRAL PROPONE GARANTIZAR LA EVALUACIÓN Y ACTUACION INMEDIATA PARA LA PROTECCION DE LOS NIÑOS Y ADOLECENTES CON PARALISIS CEREBRAL.
7,1901,LEY QUE HACE EXTENSIVO A LOS SERVIDORES Y FUNCIONARIOS PÚBLICOS EL DERECHO A PERCIBIR GRATIFICACIONES DE FIESTAS PATRIAS Y DE NAVIDAD,PROPONE  HACER EXTENSIVO A LOS SERVIDORES Y FUNCIONARIOS PÚBLICOS EL DERECHO A PERCIBIR GRATIFICACIONES DE FIESTAS PATRIAS Y DE NAVIDAD.,POSITIVO,LEY QUE HACE EXTENSIVO A LOS SERVIDORES Y FUNCIONARIOS PÚBLICOS EL DERECHO A PERCIBIR GRATIFICACIONES DE FIESTAS PATRIAS Y DE NAVIDAD PROPONE  HACER EXTENSIVO A LOS SERVIDORES Y FUNCIONARIOS PÚBLICOS EL DERECHO A PERCIBIR GRATIFICACIONES DE FIESTAS PATRIAS Y DE NAVIDAD.
8,11784,LEY QUE MODÍFICA EL ARTÍCULO 274° DEL CÓDIGO PENAL A FIN DE DIFERENCIAR Y ESTABLECER LA SANCIÓN A LOS CONDUCTORES QUE CONDUZCAN SUS VEHÍCULOS BAJO LA INFLUENCIA DEL ALCOHOL O EN ESTADO DE EBRIEDAD O DROGADICCIÓN,PROPONE MODIFICAR EL ARTÍCULO 274° DEL CÓDIGO PENAL,POSITIVO,LEY QUE MODÍFICA EL ARTÍCULO 274° DEL CÓDIGO PENAL A FIN DE DIFERENCIAR Y ESTABLECER LA SANCIÓN A LOS CONDUCTORES QUE CONDUZCAN SUS VEHÍCULOS BAJO LA INFLUENCIA DEL ALCOHOL O EN ESTADO DE EBRIEDAD O DROGADICCIÓN PROPONE MODIFICAR EL ARTÍCULO 274° DEL CÓDIGO PENAL
9,4078,"LEY QUE RECONOCE Y ESTABLECE EL DERECHO AL PAGO DE LA BONIFICACIÓN ESPECIAL DEL 30% Y 35%, DE LA REMUNERACIÓN TOTAL, PARA LOS TRABAJADORES ADMINISTRATIVOS DEL SECTOR EDUCACIÓN DEL RÉGIMEN DEL D.L 276.","PROPONE RECONOCER Y ESTABLECE EL DERECHO AL PAGO DE LA BONIFICACIÓN ESPECIAL DEL 30% Y 35%, DE LA REMUNERACIÓN TOTAL, PARA LOS TRABAJADORES ADMINISTRATIVOS DEL SECTOR EDUCACIÓN DEL RÉGIMEN DEL D.L 276.",POSITIVO,"LEY QUE RECONOCE Y ESTABLECE EL DERECHO AL PAGO DE LA BONIFICACIÓN ESPECIAL DEL 30% Y 35%, DE LA REMUNERACIÓN TOTAL, PARA LOS TRABAJADORES ADMINISTRATIVOS DEL SECTOR EDUCACIÓN DEL RÉGIMEN DEL D.L 276. PROPONE RECONOCER Y ESTABLECE EL DERECHO AL PAGO DE LA BONIFICACIÓN ESPECIAL DEL 30% Y 35%, DE LA REMUNERACIÓN TOTAL, PARA LOS TRABAJADORES ADMINISTRATIVOS DEL SECTOR EDUCACIÓN DEL RÉGIMEN DEL D.L 276."
